,Tile Location,Pack Size,Interior/Exterior Use,Label Info 4: Supplementary Label Info,Volume,Label Info 2: Hazard Statements,Model Name,Suitable Application,Pieces in Pack/Case,Product Type,Brand,Colour,Resistant Type,Label Info 5: Hazardous Chemical Content,Price,Parent Colour,Total Product Weight,CE Standard (Tested to EN...),Manufacturer Guarantee
MAPEI ULTRACOLOUR PLUS WALL & FLOOR GROUT MANHATTAN GREY 5KG (93218),Wall & Floor,1,Interior & Exterior,N/a,5 kg,N/A,Ultracolour Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,Manhattan Grey,Mould-Resistant,2-octyl-2H-isothiazol-3-one: May produce an allergic reaction.,15.82,Grey,5 kg,EN 13888 CG2WA.,6 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT ANTHRACITE 5KG (68981),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,Ultracolor Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,Anthracite,Mould-Resistant,2-octyl-2H-isothiazol-3-one: May produce an allergic reaction.,15.82,Grey,5 kg,EN 13888 CG2WA.,6 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT JASMINE 5KG (63922),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,Ultracolor Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,Jasmine,Mould-Resistant,2-octyl-2H-isothiazol-3-one: May produce an allergic reaction.,15.82,Yellow,5 kg,EN 13888 CG2WA.,6 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI WALL WATERPROOF FIX & GROUT WHITE 1.5KG (64982),Wall,1,Interior,N/A,1.5 kg,N/A,N/A,Suitable for Small Repairs,1,Waterproof Fix & Grout,Mapei,White,Water-Repellent,"1,2-benzisothiazol-3(2H)-one. May produce an allergic reaction.",6.16,White,1.5 kg,EN 12004 D2T.,25 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT TORNADO 5KG (401FT),Wall & Floor,1,Interior & Exterior,"May produce an allergic reaction. It contains special hydraulic binders that, when in contact with sweat or other body fluids can produce a slightly alkaline reaction.",5 kg,N/A,Ultracolor Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,Tornado,Mould-Resistant,2-octyl-2H-isothiazol-3-one,15.82,Grey,5 kg,EN 13888 CG2WA.,1 Year Guarantee
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT CEMENT GREY 5KG (55838),Wall & Floor,1,Interior & Exterior,N/A,5 kg,EUH 210 Safety data sheet available on request.,Ultracolor Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,Cement Grey,Mould-Resistant,2-octyl-2H-isothiazol-3-one: May produce an allergic reaction.,15.82,Grey,5 kg,EN 13888 CG2WA.,6 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT WHITE 5KG (71681),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,Ultracolor Plus,Suitable for Interior & Exterior Wall & Floor Grouting,1,Grout,Mapei,White,Mould-Resistant,2-octyl-2H-isothiazol-3-one: May produce an allergic reaction.,15.82,White,5 kg,EN 13888 CG2WA.,6 Year Manufacturer's Guarantee (T&Cs Apply)
NO NONSENSE WALL & FLOOR NO MOULD GROUT BLACK 5KG (200HP),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,N/A,For Interior & Exterior Use,1,No Mould Grout,No Nonsense,Black,Mould-Resistant,N/A,9.57,Black,5 kg,N/A,1 Year Guarantee
NO NONSENSE WALL & FLOOR NO MOULD GROUT JASMINE 5KG (545HP),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,N/A,For Interior & Exterior Use,1,No Mould Grout,No Nonsense,Jasmine,Mould-Resistant,N/A,9.57,Yellow,5 kg,N/A,1 Year Guarantee
NO NONSENSE WALL & FLOOR NO MOULD GROUT CEMENT GREY 5KG (490HP),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,N/A,For Interior & Exterior Use,1,No Mould Grout,No Nonsense,Cement Grey,Mould-Resistant,N/A,9.57,Grey,5 kg,N/A,1 Year Guarantee
NO NONSENSE WALL & FLOOR NO MOULD GROUT WHITE 5KG (153HP),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,N/A,For Interior & Exterior Use,1,No Mould Grout,No Nonsense,White,Mould-Resistant,N/A,9.57,White,5 kg,N/A,1 Year Guarantee
MAPEI WALL WATERPROOF FIX & GROUT WHITE 7.5KG (65688),Wall,1,Interior,N/A,7.5 kg,N/A,N/A,Suitable for Dry & Wet Areas,1,Waterproof Fix & Grout,Mapei,White,Water-Repellent,N/A,21.66,White,7.5 kg,EN 12004: 2007 + A1: 2012.,5 Year Manufacturer's Guarantee (T&Cs Apply)
MAPEI ULTRACOLOR PLUS WALL & FLOOR GROUT BLACK 5KG (957FX),Wall & Floor,1,Interior & Exterior,"May produce an allergic reaction. It contains special hydraulic binders that, when in contact with sweat or other body fluids can produce a slightly alkaline reaction.",5 kg,EUH 210 Safety data sheet available on request.,Ultracolor Plus,For Use on Walls & Floors,1,Grout,Mapei,Black,Mould-Resistant,2-octyl-2H-isothiazol-3-one,15.82,Black,5 kg,EN 13888 CG2WA.,1 Year Guarantee
NO NONSENSE WALL & FLOOR NO MOULD GROUT MANHATTAN GREY 5KG (154HP),Wall & Floor,1,Interior & Exterior,N/A,5 kg,N/A,N/A,For Interior & Exterior Use,1,No Mould Grout,No Nonsense,Manhattan Grey,Mould-Resistant,N/A,9.57,Grey,5 kg,N/A,1 Year Guarantee
